from_id,to_id,row,col,t_enter,t_exit,terrain_m
O01,S002,693,752,0.3854151875,0.385838517,168.3876495
O01,S002,692,752,0.385838517,0.3903320234,177.2075653
O01,S002,691,752,0.3903320234,0.3948255297,178.3041229
O01,S002,690,752,0.3948255297,0.3954431938,180.4202881
O01,S002,690,753,0.3954431938,0.3993190361,155.1537628
O01,S002,689,753,0.3993190361,0.4038125424,158.3284454
O01,S002,688,753,0.4038125424,0.4054712,170.4140472
O01,S002,688,754,0.4054712,0.4083060488,153.4143829
O01,S002,687,754,0.4083060488,0.4127995551,164.1395416
O01,S002,686,754,0.4127995551,0.4154992062,165.9986572
O01,S002,686,755,0.4154992062,0.4172930615,159.9950256
O01,S002,685,755,0.4172930615,0.4217865678,162.4425507
O01,S002,684,755,0.4217865678,0.4255272124,168.1555023
O01,S002,684,756,0.4255272124,0.4262800741,168.9582672
O01,S002,683,756,0.4262800741,0.4307735805,170.0400238
O01,S002,682,756,0.4307735805,0.4352670868,163.7519989
O01,S002,681,756,0.4352670868,0.4355552186,162.9640656
O01,S002,681,757,0.4355552186,0.4397605932,160.3959503
O01,S002,680,757,0.4397605932,0.4442540995,164.304184
O01,S002,679,757,0.4442540995,0.4455832248,168.8150482
O01,S002,679,758,0.4455832248,0.4487476059,166.29953
O01,S002,678,758,0.4487476059,0.4532411122,165.0112305
O01,S002,677,758,0.4532411122,0.455611231,158.9286957
O01,S002,677,759,0.455611231,0.4577346185,154.1474304
O01,S002,676,759,0.4577346185,0.4622281249,154.5376129
O01,S002,675,759,0.4622281249,0.4656392373,159.8063354
O01,S002,675,760,0.4656392373,0.4667216312,157.0435791
O01,S002,674,760,0.4667216312,0.4712151376,163.9987946
O01,S002,673,760,0.4712151376,0.4756672435,162.3287048
O01,S002,673,761,0.4756672435,0.4757086439,171.2553253
O01,S002,672,761,0.4757086439,0.4802021503,167.8339081
O01,S002,671,761,0.4802021503,0.4846956566,158.3600006
O01,S002,670,761,0.4846956566,0.4856952497,154.6657257
O01,S002,670,762,0.4856952497,0.489189163,155.4857178
O01,S002,669,762,0.489189163,0.4936826693,155.3117523
O01,S002,668,762,0.4936826693,0.4957232559,160.8964996
O01,S002,668,763,0.4957232559,0.4981761756,171.2213745
O01,S002,667,763,0.4981761756,0.502669682,184.544754
O01,S002,666,763,0.502669682,0.5057512621,199.5528259
O01,S002,666,764,0.5057512621,0.5071631883,208.7071381
O01,S002,665,764,0.5071631883,0.5116566947,194.4502106
O01,S002,664,764,0.5116566947,0.5157792683,200.9053955
O01,S002,664,765,0.5157792683,0.516150201,216.974823
O01,S002,663,765,0.516150201,0.5206437074,215.3367004
O01,S002,662,765,0.5206437074,0.5251372137,198.0657349
O01,S002,661,765,0.5251372137,0.5258072746,201.232132
O01,S002,661,766,0.5258072746,0.5296307201,204.5305328
O01,S002,660,766,0.5296307201,0.5341242264,217.8196411
O01,S002,659,766,0.5341242264,0.5358352808,218.9065704
O01,S002,659,767,0.5358352808,0.5386177327,234.1768188
O01,S002,658,767,0.5386177327,0.5431112391,229.2134399
O01,S002,657,767,0.5431112391,0.545863287,218.4493256
O01,S002,657,768,0.545863287,0.5476047454,212.8582764
O01,S002,656,768,0.5476047454,0.5520982518,195.3540955
O01,S002,655,768,0.5520982518,0.5558912932,181.5797729
O01,S002,655,769,0.5558912932,0.5565917581,174.3118591
