service_id,type_id,reserve_fraction,max_safe_payload_kg,status,energy_budget_kwh,energy_empty_kwh,energy_at_rated_payload_kwh,energy_at_safe_payload_kwh,rated_payload_kg,distance_out_m,distance_back_m,climb_out_m,climb_back_m,descent_out_m,descent_back_m,cruise_alt_m,flight_s
S012,B,0.15,30,rated_payload_limited,3.4,2.21482112408,3.039145538,3.039145538,30,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1292.82681425
S012,C,0.15,73.628919184,energy_limited,6.8,4.65923038872,7.39890429565,6.8,80,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1362.67714589
S013,A,0.15,25,rated_payload_limited,3.825,1.83030762726,2.07421509617,2.07421509617,25,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,1042.16281728
S013,B,0.15,30,rated_payload_limited,3.4,1.46402243521,2.0144296422,2.0144296422,30,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,880.511588782
S013,C,0.15,80,rated_payload_limited,6.8,3.06868405411,4.89171403136,4.89171403136,80,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,933.672196687
S014,A,0.15,25,rated_payload_limited,3.825,2.13779691217,2.42558723052,2.42558723052,25,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1420.39888529
S014,B,0.15,30,rated_payload_limited,3.4,1.72186251244,2.35522053783,2.35522053783,30,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1239.74767529
S014,C,0.15,80,rated_payload_limited,6.8,3.52159630022,5.60758666095,5.60758666095,80,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1357.28013786
S015,A,0.15,25,rated_payload_limited,3.825,2.30689938866,2.61934426755,2.61934426755,25,6009.764892,6009.764892,444.0992554,97.29925537,97.29925537,444.0992554,571.7992554,1398.65305656
S015,B,0.15,30,rated_payload_limited,3.4,1.85021799472,2.5445279265,2.5445279265,30,6009.764892,6009.764892,444.0992554,97.29925537,97.29925537,444.0992554,571.7992554,1198.32756016
S015,C,0.15,80,rated_payload_limited,6.8,3.84149604983,6.13326501752,6.13326501752,80,6009.764892,6009.764892,444.0992554,97.29925537,97.29925537,444.0992554,571.7992554,1288.56064529
S001,A,0.2,25,rated_payload_limited,3.6,1.16153051602,1.31271024158,1.31271024158,25,3054.023608,3054.023608,145.3566101,89.05661011,89.05661011,145.3566101,273.0566101,680.906962821
S001,B,0.2,30,rated_payload_limited,3.2,0.930225761055,1.27394097204,1.27394097204,30,3054.023608,3054.023608,145.3566101,89.05661011,89.05661011,145.3566101,273.0566101,579.106175887
S001,C,0.2,80,rated_payload_limited,6.4,1.94139247193,3.08170436114,3.08170436114,80,3054.023608,3054.023608,145.3566101,89.05661011,89.05661011,145.3566101,273.0566101,618.175045922
S002,A,0.2,25,rated_payload_limited,3.6,2.73984663737,3.09050972759,3.09050972759,25,7411.533814,7411.533814,181.2542542,89.45425415,89.45425415,181.2542542,308.9542542,1433.77520846
S002,B,0.2,30,rated_payload_limited,3.2,2.18415452088,2.99882031183,2.99882031183,30,7411.533814,7411.533814,181.2542542,89.45425415,89.45425415,181.2542542,308.9542542,1186.72408132
S002,C,0.2,68.8581041088,energy_limited,6.4,4.6325359292,7.34794754861,6.4,80,7411.533814,7411.533814,181.2542542,89.45425415,89.45425415,181.2542542,308.9542542,1231.84216605
